company,round_type,round_date,amount_usd,valuation_usd,source,trust_tier
Ledgerline,Series A,2026-02-18,25000000.0,,company_filing,1
Ledgerline,Seed,2025-06-10,,,company_filing,1
Ledgerline,Series A,2026-02-20,25000000.0,,company_filing,1
Ledgerline,Series A,2026-02-20,25000000.0,,news_aggregator,3
NovaGrid Robotics,Series B,2026-03-04,42000000.0,185000000.0,company_filing,1
NovaGrid Robotics,Series B,2026-03-04,42000000.0,180000000.0,company_filing,1
NovaGrid Robotics,Series B,2026-03-05,42000000.0,210000000.0,news_aggregator,3
Solace Health,Series A,2026-01-15,12000000.0,55000000.0,company_filing,1
Solace Health,Series A,2026-01-15,12000000.0,55000000.0,company_filing,1
Solace Health,Series A,2026-01-16,12000000.0,,news_aggregator,3
